Name	Count
Total count: 	2465
2	1107
3	 366
4	 235
1	 168
6	 100
5	  97
8	  59
7	  42
10	  24
12	  19
11	  16
9	  16
15	  12
26	  11
13	  10
18	  10
21	  10
20	   8
14	   7
27	   7
22	   5
28	   5
30	   5
16	   4
17	   4
24	   4
36	   4
52	   4
19	   3
23	   3
25	   3
37	   3
40	   3
53	   3
104	   2
112	   2
140	   2
29	   2
32	   2
33	   2
34	   2
38	   2
42	   2
43	   2
46	   2
50	   2
57	   2
58	   2
61	   2
66	   2
72	   2
84	   2
85	   2
87	   2
91	   2
102	   1
103	   1
105	   1
106	   1
110	   1
113	   1
125	   1
130	   1
133	   1
142	   1
144	   1
145	   1
152	   1
156	   1
160	   1
168	   1
173	   1
178	   1
186	   1
201	   1
215	   1
31	   1
329	   1
347	   1
35	   1
39	   1
41	   1
44	   1
449	   1
45	   1
47	   1
48	   1
49	   1
55	   1
56	   1
59	   1
60	   1
63	   1
67	   1
69	   1
71	   1
76	   1
80	   1
86	   1
89	   1
97	   1
