system_control_number	pagecount
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
(CU-RivES)R227828	2096
(CU-RivES)T86819	1234
(CU-RivES)T58793	1388
(CU-RivES)T154479	1784
(CU-RivES)T161289	1665
(CU-RivES)T147668	1665
(CU-RivES)T161289	1667
(CU-RivES)T147668	1667
(CU-RivES)T152800	314
(CU-RivES)T147331	674
(CU-RivES)T140655	3124
(CU-RivES)T140656	3124
(CU-RivES)T96042	1486
(CU-RivES)T146317	1621
(CU-RivES)W30992	650
(CU-RivES)T138837	3394
(CU-RivES)T154282	1063
(CU-RivES)T110679	996
(CU-RivES)T105066	885
(CU-RivES)T142794	885
(CU-RivES)T143288	1473
(CU-RivES)T100326	1817
(CU-RivES)N9063	1406
(CU-RivES)T53955	2382
