gatherings	physical_extent	estimated_pagecount	Count
Total count (na.rm TRUE): 	23156		
12mo	2v.	286	2908
8vo	2v.	652	2491
4to	[No pagination provided]	346	1370
8vo	[No pagination provided]	385	1366
12mo	[No pagination provided]	478	 843
1to	[No pagination provided]	NA	 760
12mo	3v.	429	 705
8vo	2v.,plates	652	 678
2fo	[No pagination provided]	NA	 647
12mo	4v.	572	 535
8vo	3v.	978	 522
12mo	2v.,plates	286	 437
8vo	2v.,plate	652	 372
8vo	4v.	1304	 339
NA	[No pagination provided]	NA	 322
12mo	2v.,plate	286	 255
4to	2v.	NA	 254
12mo	4v.,plates	572	 232
4to	2v.,plates	NA	 196
2fo	2v.	924	 155
8vo	4v.,plates	1304	 151
2fo	2v.,plates	924	 149
8vo	3v.,plates	978	 146
12mo	3v.,plates	429	 141
8vo	2 v.	652	 131
4to	1 v.	346	 121
12mo	5v.	715	 108
16mo	[No pagination provided]	NA	 101
4to	2 v.	NA	  89
8vo	v., plates	385	  86
8vo	3v.,plate	978	  86
12mo	2 v.	286	  82
12mo	6v.	858	  70
8vo	4v.,plate	1304	  70
2fo	1 v.	NA	  68
12mo	4v.,plate	572	  67
18mo	2v.	432	  66
24mo	[No pagination provided]	NA	  64
8vo	5v.	1630	  64
NA	1 v.	NA	  63
12mo	8v.	1144	  62
2fo	2v.,plate	924	  62
4to	2v.,plate	NA	  62
1to	NA	NA	  60
12mo	8v.,plates	1144	  59
8vo	6v.,plates	1956	  59
12mo	3v.,plate	429	  58
2fo	3v.,plates	1386	  58
4to	3 v.	NA	  57
NA	2 v.	NA	  56
8vo	3 v.	978	  56
8vo	6v.	1956	  56
12mo	6v.,plates	858	  55
8vo	5v.,plates	1630	  54
2fo	2 v.	924	  49
8vo	2v.	498	  47
4to	3v.,plates	NA	  45
8vo	4 v.	1304	  42
8vo	1 v.	385	  41
8vo	8v.	2608	  41
4to	NA	346	  39
4to	4v.,plates	NA	  35
18mo	2v.,plates	432	  35
2fo	3 v.	1386	  33
12mo	5v.,plates	715	  33
8vo	8v.,plates	2608	  33
4to	3v.	NA	  32
2fo	3v.	1386	  30
NA	3 v.	NA	  28
8vo	v., plates (some fold.)	385	  28
4to	4v.	NA	  27
2fo	4 v.	1848	  26
8vo	3v.	747	  26
12mo	10v.	1430	  26
8vo	???	385	  24
8vo	NA	385	  24
4to	4 v.	NA	  23
NA	4 v.	NA	  23
8vo	6v.,plate	1956	  23
8vo	6 v.	1956	  21
12mo	7v.	1001	  21
8vo	10v.,plates	3260	  21
8vo	8v.,plate	2608	  21
4to	5 v.	NA	  20
12mo	8v.,plate	1144	  20
24mo	2v.	223	  20
2fo	2v.,plates	96.8571428571429	  20
2fo	NA	NA	  19
2fo	5 v.	2310	  19
8vo	2 v., plates	652	  19
12mo	2v.	314	  19
18mo	3v.	648	  19
18mo	4v.	864	  19
2fo	2v.	96.8571428571429	  18
32mo	[No pagination provided]	NA	  18
NA	5 v.	NA	  18
4to	12pts.	346	  17
8vo	9v.,plates	2934	  17
8vo	4v.	996	  17
2fo	3v.,plate	1386	  17
8vo	7v.	2282	  17
12mo	10v.,plates	1430	  17
NA	NA	NA	  16
12mo	3 v.	429	  16
8vo	7v.,plates	2282	  16
16mo	2v.	582	  16
18mo	3v.,plates	648	  16
8vo	v.3-4	652	  16
NA	6 v.	NA	  15
2fo	6 v.	2772	  15
8vo	12v.	NA	  15
8vo	2v., plates	652	  15
8vo	3 v., plates	978	  14
12mo	4 v.	572	  14
12mo	7v.,plates	1001	  14
8vo	2v.,plates	498	  14
NA	7 v.	NA	  13
8vo	4 v., plates	1304	  13
4to	7 v.	NA	  13
4to	6 v.	NA	  13
2fo	7 v.	3234	  13
2fo	9 v.	4158	  13
18mo	[No pagination provided]	NA	  13
2fo	4v.,plates	1848	  13
18mo	4v.,plates	864	  13
12mo	9v.	1287	  13
12mo	1 v.	478	  12
2fo	4v.	1848	  12
12mo	v.3-4	286	  12
8vo	12v.,plates	NA	  12
8vo	10v.	3260	  12
4to	6v.,plates	NA	  12
12mo	5v.,plate	715	  12
12mo	7v.,plate	1001	  12
8vo	1v. (various pagings)	385	  11
NA	2v.	NA	  11
8vo	6v.	1494	  11
4to	11 v.	NA	  11
8vo	5 v.	1630	  11
4to	v., plates	346	  11
8vo	1 v., plates	385	  11
8vo	4v.,plates	996	  11
4to	5v.,plates	NA	  11
12mo	6v.,plate	858	  11
18mo	2v.,plate	432	  11
8vo	2v.,tables	652	  11
8vo	2v.,table	652	  10
8vo	5v.	1245	  10
8vo	5v.,plates	1245	  10
8vo	8 v.	2608	  10
2fo	20 v.	NA	  10
2fo	8 v.	3696	  10
8vo	6 v., plates	1956	  10
8vo	10 v.	3260	  10
4to	2v.	218	  10
4to	3v.,plate	NA	  10
8vo	5v.,plate	1630	  10
8vo	8 parts	385	  10
2fo	plates	NA	   9
12mo	NA	478	   9
2fo	12 v.	NA	   9
NA	9 v.	NA	   9
12mo	9v.,plates	1287	   9
12mo	12v.,plates	NA	   9
8vo	2v.,plates,tables	652	   9
12mo	4v.	628	   9
2fo	3v.,plates	145.285714285714	   9
4to	2v.,plates	218	   9
8vo	v.1-2	652	   9
NA	1v. (various pagings)	NA	   8
8vo	7v.,plate	2282	   8
8vo	6v.,plates	1494	   8
2fo	10 v.	4620	   8
4to	8 v.	NA	   8
2fo	15 v.	NA	   8
2fo	30 v.	NA	   8
2fo	11 v.	NA	   8
2fo	13 v.	NA	   8
4to	3v.,plates	327	   8
2fo	5v.	2310	   8
8vo	2v.,plate,tables	652	   8
18mo	6v.	1296	   8
12mo	12v.	NA	   8
16mo	2v.,plates	582	   8
8vo	2 v., plate	652	   8
8vo	13 parts	385	   8
8vo	8v.	1992	   7
NA	14 v.	NA	   7
8vo	12 v.	NA	   7
4to	12 v.	NA	   7
4to	10 v.	NA	   7
2fo	14 v.	NA	   7
2fo	6v.,plates	2772	   7
8vo	12 v., plates	NA	   7
2fo	3v.	145.285714285714	   7
8vo	9v.	2934	   7
12mo	2 v., plates	286	   7
12mo	v.2-8	1001	   7
8vo	v.1-3	978	   7
8vo	12v.,plate	NA	   7
8vo	10 parts	385	   7
12mo	2v., plates	286	   7
12mo	3v.	471	   7
8vo	3v.,table	978	   7
NA	? p.	NA	   6
4to	4v.	436	   6
4to	4v.,plates	436	   6
4to	3v.	327	   6
12mo	1 v. (various pagings)	478	   6
NA	11 v.	NA	   6
8vo	1 v., plates (some fold.)	385	   6
2fo	18 v.	NA	   6
2fo	25 v.	NA	   6
12mo	6 v.	858	   6
4to	plates	346	   6
12mo	2v.,table	286	   6
12mo	2v	286	   6
12mo	5 parts,plates	478	   6
8vo	1v.	385	   6
12mo	12pts.	478	   6
8vo	20pt.	385	   6
18mo	3v.,plate	648	   6
2fo	6v.	2772	   6
8vo	3v.,tables	978	   6
4to	6v.	NA	   6
12mo	12v.,plate	NA	   6
12mo	v.1-2	286	   6
8vo	10v.,plate	3260	   6
4to	2v.,plates,tables	NA	   6
